job_title,company,location,experience,salary,skills,city_searched
MIS Executive,Anheuser Busch InBev,"Indore, North Goa",3-6 Yrs,Not Disclosed,"Sales Report, VLOOKUP, Advanced Excel, Monthly MIS, MIS Reporting, Pivot Table, Data Management, Conditional Formatting",indore
Data Analyst Intern,Imast Operations,Indore(Vijay Nagar ),0-1 Yrs,Not Disclosed,"Communication Skills, Lead Generation, Cold Calling, Data analysis, Generation, Cold, Calling, Data",indore
Data Analyst,Bestpeers Infosystem,Indore,5-7 Yrs,Not Disclosed,"Data analysis, Statistical analysis, Data management, Process improvement, data integrity, Data Analyst, data visualization, SQL",indore
Junior Data Analyst - Financial Services v2.0,be3 Human Resource Management,"Indore, Bhopal, Gwalior, Jabalpur, Ujjain",6-8 Yrs,Not Disclosed,"financial analysis, hlookup, macros, data analysis, data analytics, data management, pivot table, power bi",indore
Technical Business Analyst / Data Analyst,PURVIEW,Hybrid - Indore,7-12 Yrs,10-20 Lacs PA,"Business Analyst, Privilege Guard log, Cyberark, Power BI, Data Analyst, user stories, SQL, KCI",indore
Business Data Analyst,Leading Client,Indore,7-10 Yrs,Not Disclosed,"data analyst, visualization, data analysis, business data, power bi, visualization tools, communication and interpersonal skills, data collection",indore
Sr. Data Analyst,Lumenore,Indore,3-6 Yrs,Not Disclosed,"algorithms, python, data analysis, modeling, data mining, bi, power bi, data warehousing",indore
Senior Data Analyst,New Hope Fertility Ivf And Research Center,Indore,5-7 Yrs,Not Disclosed,"Power BI, roas, Data Analytics, CPL, Data analysis, Senior, Analytics, Bi",indore
Data Analyst,Leading Client,Indore,6-10 Yrs,Not Disclosed,"data analyst, microsoft office, emerging technologies, visualization, data analysis, statistical modeling, process improvement, visualization tools",indore
Lead Data Analyst,Serosoft Solutions,Indore,3-7 Yrs,Not Disclosed,"Health insurance, Data analysis, ERP, Automation, Data modeling, Analytical, Continuous improvement, Operations",indore
Lead Data Analyst,Leading Client,Indore,7-12 Yrs,Not Disclosed,"data analyst, data quality, data analysis tools, data analysis, data systems, analysis tools, communication and interpersonal skills, analytical skills",indore
Data Analyst,Serosoft Solutions,Indore,0-5 Yrs,Not Disclosed,"Health insurance, Data analysis, ERP, Automation, SAS, Data modeling, Analytical, MySQL",indore
Data Analyst / Data Scientist (Splunk & Python),PURVIEW,Hybrid - Indore,6-10 Yrs,Not Disclosed,"Data Cleansing, Splunk, Python, Data Quality, Classification, Regression, Statistical Analyses, Clustering",indore
Risk Data Analyst,PURVIEW,Hybrid - Indore,6-11 Yrs,11-21 Lacs PA,"PowerBI, Risk and DATA Analyst, Data Analysis, JIRA, Risk & Control Management, excel, Project Coordination, Management",indore
Data Analyst,Nucleusteq Consulting,Indore,4-8 Yrs,Not Disclosed,"data analytics, data validation, hr, business intelligence, data analyst, sql, analytics, marketing",indore
Senior Data Expert (Data Analyst & Data Modeler) - GCP,Leading Client,Indore,8-13 Yrs,Not Disclosed,"data analyst, algorithms, google cloud platform, power bi, machine learning, business intelligence, cloud platform, cloud",indore
Sr. Data Analyst - MS Excel,Yash Technologies,Indore,7-12 Yrs,Not Disclosed,"Business transformation, Product service, Analytical, Agile, Healthcare, Data quality, Troubleshooting, Stakeholder management",indore
Business Analyst - Emerging,IIFL Home Finance,Indore,2-6 Yrs,Not Disclosed,"confluence, data analysis, software testing, bi, power bi, business analysis, uat, user stories",indore
Business Analyst,Yapcode Technologies,Indore,3-5 Yrs,Not Disclosed,"innovation, excel, stakeholder management, multitasking, analytical skills, work ethics, Ethics, Business analysis",indore
Business Analyst,Insta It Technologies,Indore,1-4 Yrs,Not Disclosed,"Requirements Gathering, Documentation, Data Analysis, Stakeholders, SQL, Analysis, Business analysis, Requirements",indore
Business Analyst Intern,Nextloop Technologies,Indore,,Unpaid,,indore
Business Analyst,Ignatiuz Software,Indore,1-3 Yrs,Not Disclosed,"project management, product management, writing, business analysis, business process analysis, dashboards, Process analysis, Analysis",indore
Business Analyst,Leading Client,Indore,6-11 Yrs,Not Disclosed,"business analyst, data analysis, operations, business requirements, market research, business operations, reporting tools, research",indore
Business Analyst,Endeavor IT Solution,Indore,0-2 Yrs,Not Disclosed,"project management, data analysis, gap analysis, business analysis, uat, business analytics, user stories, sales",indore
Business Analyst (Cybersecurity),Purview Service,Hybrid - Indore,6-11 Yrs,15-20 Lacs PA,"Cyber Security, Business Analyst, Regulatory, Data Visualization, Endpoint Protection, Edr, Compliance, Information Security",indore
Business Analyst,Vision Waves,Indore,4-9 Yrs,Not Disclosed,"Cloud computing, Data analysis, Business analysis, Project management, Analytical, Business process analysis, Visio, JIRA",indore
Senior Business Analyst,Leading Client,Indore,8-13 Yrs,Not Disclosed,"business analyst, data analysis tools, data analysis, operations, business requirements, analysis tools, market research, communication and interpersonal skills",indore
"IT Applications Analyst, Business Analyst",Taskus,Indore,5-10 Yrs,Not Disclosed,"BPO, Business process, Data analysis, Project management, Social media, Customer support, Outsourcing, Oracle",indore
MIS Analyst - Commercial,Lactalis India,Indore,5-8 Yrs,Not Disclosed,"Data analysis, tableau, SAP, Excel, Analytical, Powerpoint, MIS Analyst, MIS Analysis",indore
MIS Analyst - Commercial,Anik Milk Products,Indore,2-5 Yrs,Not Disclosed,"Data analysis, Automation, Interpersonal skills, SAP, Excel, Analytical, FMCG, Forecasting",indore
MIS Executive,Exclusive Insurance Broking Services,Indore,3-8 Yrs,Not Disclosed,"MIS reporting, Report generation, Data analysis, Analytical, Conditional formatting, MIS preparation, MS Office, Reporting tools",indore
Junior Data Analyst - Financial Services v2.0,be3 Human Resource Management,"Bhopal, Gwalior, Indore, Jabalpur, Ujjain",6-8 Yrs,Not Disclosed,"financial analysis, hlookup, macros, data analysis, data analytics, data management, pivot table, power bi",bhopal
Data Analyst internship,Katyayani Organics,Bhopal,,Unpaid,,bhopal
Business Analysts,Broadarks Technology,Bhopal,1-4 Yrs,Not Disclosed,"Business Analyst, Analysts, Business analysis",bhopal
Data Analyst,Lumenore,Bhopal,1-3 Yrs,Not Disclosed,"Data Analyst, Data analysis, Data",bhopal
Sr. Data Analyst,Lumenore,Bhopal,3-6 Yrs,Not Disclosed,"Data Analyst, Data analysis, SR, Data",bhopal
Data Analyst,Esoft Consulting,Bhopal,4-5 Yrs,4.5-5.5 Lacs PA,"Data Management, Advanced Excel, Presentation Skills, Data Analysis, Data Visualization, Data Presentation, Analytical Ability, Data Collection",bhopal
Senior Business Analyst - Healthcare,Hexaware Technologies,Bhopal,3-7 Yrs,Not Disclosed,"Business process, Data analysis, ODBC, Customer management, Claims, Healthcare, Senior Business Analyst, SDLC",bhopal
Mis Executive,DMart,"Bhopal, Raipur",3-8 Yrs,1.5-3.5 Lacs PA,"Pivot Table, VLOOKUP, MIS Operations, Advanced Excel, HLOOKUP, MIS Preparation, Conditional Formatting, MIS Reporting",bhopal
Computer Operator MIS & Documentation,om Sai Vision,"Bhopal, Jabalpur, Katni",1-3 Yrs,2.5-4 Lacs PA,"MIS, Data Management, Computer, Management, Data, Operating, Documentation",bhopal
"Upcoming Need- Monitoring, Evaluation & MIS Specialist",ICF,"Bhopal, Jaipur, Raipur",8-13 Yrs,Not Disclosed,"Monitoring and Evaluation, Evaluation, Strategy Consulting, Monitoring, Consulting, MIS",bhopal
MIS Executive,TP,Jaipur,1-2 Yrs,Not Disclosed,"Data analysis, Customer experience management, Customer service, Business intelligence, Operations, Monitoring, Logistics, MIS Executive",jaipur
Data Analyst,Contechub,Jaipur,1-3 Yrs,Not Disclosed,"microsoft power bi, data analysis, microsoft azure, power bi, salesforcemicrosoft dynamics, communication skills, Bi, Data",jaipur
Data Analyst,Hospkart Healthique,Jaipur,1-3 Yrs,4-6 Lacs PA,"Data Warehousing, Data Analysis, Data Visualization, Data Analytics, Data, Analytics, Analysis, Warehouse",jaipur
Junior Data Analyst - Financial Services v2.0,be3 Human Resource Management,"Jaipur, Kota, Bikaner, Jodhpur",6-8 Yrs,Not Disclosed,"financial analysis, hlookup, macros, data analysis, data analytics, data management, pivot table, power bi",jaipur
Junior Data Analyst - Financial Services v2.0,be3 Human Resource Management,Jaipur,6-8 Yrs,Not Disclosed,"financial analysis, hlookup, macros, data analysis, data analytics, data management, data validation, pivot table",jaipur
Data Analyst,Innocode Ventures,Jaipur,2-4 Yrs,Not Disclosed,"Data analysis, Usage, Analytical, Data Analyst, data visualization, Business intelligence, Statistics, Analytics",jaipur
MIS Executive/Data Analyst,Shuddhi Ayurveda Hospital,Jaipur,1-4 Yrs,Not Disclosed,"Data Analyst, MIS Executive, Data analysis, MIS, Data",jaipur
Data Analyst,eBizneeds,Jaipur,0-3 Yrs,Not Disclosed,"master data, metadata, python, data analysis, data management, data analytics, data validation, configuration",jaipur
Data Analyst Trainer,Ducat India,Jaipur,2-6 Yrs,3.25-7 Lacs PA,"data Science Trainer, Excel, python trainer, Tableau, SQL, Data Science, Power BI, Artificial Intelligence",jaipur
Technical Business Analyst / Data Analyst,PURVIEW,Hybrid - Jaipur,7-12 Yrs,10-20 Lacs PA,"Business Analyst, Privilege Guard log, Cyberark, Power BI, Data Analyst, user stories, SQL, KCI",jaipur
Business Data Analyst,Leading Client,Jaipur,7-10 Yrs,Not Disclosed,"data analyst, visualization, data analysis, business data, power bi, visualization tools, communication and interpersonal skills, data collection",jaipur
Data Analyst,Leading Client,Jaipur,6-10 Yrs,Not Disclosed,"data analyst, microsoft office, emerging technologies, visualization, data analysis, statistical modeling, process improvement, visualization tools",jaipur
Senior Data Analyst,Analytix Data Services,Jaipur,3-5 Yrs,Not Disclosed,"python, data analysis, data analytics, bi, documentation, power bi, problem solving, business intelligence",jaipur
